RunNr;RunType;HitscoreThreshold;pnccdGainLevel;MultiscoreThreshold;DarkNr;pnccdGapTopMM;pnccdGapBottomMM
1;void;-1;-1;-1;12;2.8;3.1
2;void;-1;-1;-1;12;2.8;3.1
3;void;-1;-1;-1;-1;12;2.8;3.1
8;void;-1;-1;-1;12;2.8;3.1
9;void;-1;-1;-1;12;2.8;3.1
10;void;-1;-1;-1;12;2.8;3.1
11;void;-1;-1;-1;12;2.8;3.1
12;dark;-1;-1;-1;12;2.8;3.1
13;cluster;2000;1;10;12;2.8;3.1
14;cluster;2000;1;101;12;2.8;3.1
15;cluster;2000;1;10;12;2.8;3.1
16;cluster;1000;1;10;12;2.8;3.1
17;dark;-1;-1;-1;17;2.8;3.1
18;cluster;3000;1;10;17;2.8;3.1
19;cluster;3000;1;10;17;2.8;3.1
20;dark;-1;-1;-1;20;2.8;3.1
21;cluster;3000;1;10;20;2.8;3.1
22;cluster;3000;1;10;20;2.8;3.1
23;cluster;3000;1;10;20;2.8;3.1
24;dark;-1;-1;-1;24;2.8;3.1
25;background;-1;-1;-1;24;2.8;3.1
26;background;-1;-1;-1;24;2.8;3.1
27;dark;-1;-1;-1;27;2.8;3.1
28;background;-1;-1;-1;27;2.8;3.1
31;dark;-1;-1;-1;31;2.8;3.1
32;dark;-1;-1;-1;32;2.8;3.1
33;dark;-1;-1;-1;33;2.8;3.1
34;cluster;6000;1;10;29;2.8;3.1
35;void;-1;-1;-1;29;2.8;3.1
39;background;-1;-1;-1;33;4.8;5.1
40;background;-1;-1;-1;33;4.8;5.1
41;background;-1;-1;-1;33;4.8;5.1
42;void;-1;-1;-1;29;0.8;3.0
43;cluster;6000;1;10;33;0.8;3.0
44;sample;6000;1;10;33;0.8;3.0
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;sample;5000;1;10;33;0.8;3.0
53;sample;5000;1;10;33;0.8;3.0
54;sample;4000;1;10;33;0.8;3.0
55;sample;4000;1;10;33;0.8;3.0
56;sample;4000;1;10;33;0.8;3.0
57;sample;4000;1;10;33;0.8;3.0
58;sample;4000;1;10;33;0.8;3.0
59;sample;4000;1;10;33;0.8;3.0
60;sample;-1;1;-1;33;0.8;3.0
61;dark;-1;-1;-1;61;0.8;3.0
62;dark;-1;-1;-1;62;0.8;3.0
63;dark;-1;-1;-1;63;0.8;3.0
